Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
U6	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54882533	54882639
			
	CHR_HSCHR19_1_CTG2	20933201	20935130
			
U1	CHR_HSCHR1_4_CTG31	144560668	144560831
			
	CHR_HSCHR19_2_CTG2	21655154	21656539
			
RNVU1-26	CHR_HSCHR1_4_CTG31	144523860	144524021
			
RNVU1-2A	CHR_HSCHR1_4_CTG31	144551779	144551943
			
BRI3BPP1	CHR_HSCHR19_2_CTG2	21760226	21762917
			
ZNF85	CHR_HSCHR19_1_CTG2	20929638	20957113
			
VN1R84P	CHR_HSCHR19_2_CTG2	21729280	21729514
			
MTDHP4	CHR_HSCHR19_2_CTG2	21687036	21687706
			
	CHR_HSCHR2_1_CTG1	3427276	3427885
			
	CHR_HSCHR2_1_CTG1	3498320	3498795
			
KIR3DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54860636	54875223
			
KIR3DP1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54771258	54784662
			
KIR2DL4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54803572	54814476
			
KIR2DL4	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54789822	54800920
			
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54769814	54784135
			
PIWIL1	CHR_HSCHR12_5_CTG2_1	130337887	130372618
			
FCAR	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54860626	54876850
			
	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54703952	54704235
			
U6	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54868050	54868156
			
KIR2DL4	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54789862	54800938
			
	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54703952	54704235
			
LILRP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54700593	54700905
			
KIR2DP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54754987	54767361
			
KIR2DS4	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54832654	54848283
			
RNU6-222P	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54868939	54869045
			
SNTG2	CHR_HSCHR2_4_CTG1	1316265	1365970
			
U6	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54868796	54868902
			
LILRP2	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54707916	54713453
			
OR9G4	CHR_HG151_NOVEL_TEST	56753901	56754885
			
OR5G3	CHR_HG151_NOVEL_TEST	56830655	56831590
			
OR9G3P	CHR_HG151_NOVEL_TEST	56751253	56752170
			
OR5G1P	CHR_HG151_NOVEL_TEST	56786335	56787280
			
	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54703952	54704235
			
U6	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54868924	54869030
			
OR5G4P	CHR_HG151_NOVEL_TEST	56801280	56802039
			
	CHR_HSCHR19_1_CTG2	20674923	20696533
			
OR5G5P	CHR_HG151_NOVEL_TEST	56812930	56831496
			
BNIP3P24	CHR_HSCHR19_1_CTG2	20784596	20785152
			
	CHR_HSCHR19_1_CTG2	20746923	20755250
			
ZNF66	CHR_HSCHR19_1_CTG2	20776304	20807420
			
OR9G2P	CHR_HG151_NOVEL_TEST	56762097	56762976
			
	GL000213.1	108007	139659
			
OR9G1	CHR_HG151_NOVEL_TEST	56700386	56701303
			
	CHR_HG151_NOVEL_TEST	56747390	56747536
			
OR9G9	CHR_HG151_NOVEL_TEST	56711466	56712383
			
LINC02735	CHR_HG151_NOVEL_TEST	56859642	56882325
			
	GL000220.1	105287	105376
			
RNA5-8SN5	GL000220.1	112025	112177
			
5_8S_rRNA	GL000220.1	155997	156149
			
LILRP1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54700593	54700905
			
KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54755023	54767371
			
	GL000220.1	149259	149348
			
KIR3DL3	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54724454	54736547
			
KIR3DL2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54850439	54867235
			
TPO	CHR_HSCHR2_4_CTG1	1372594	1540021
			
KRTAP9-9	CHR_HSCHR17_5_CTG4	41255319	41256311
			
KRTAP9-2	CHR_HSCHR17_5_CTG4	41226648	41227652
			
	KI270734.1	59711	60316
			
KIR3DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54786463	54790318
			
KIR2DS4	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54832686	54848263
			
KIR3DL2	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54850500	54867258
			
U6	KI270744.1	51009	51114
			
	KI270734.1	138082	161852
			
KIR3DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54724479	54736494
			
U6	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54895641	54895747
			
LILRP2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54707913	54713335
			
KRTAP9-4	CHR_HSCHR17_5_CTG4	41249619	41250585
			
KRTAP9-3	CHR_HSCHR17_5_CTG4	41232462	41233453
			
KCNQ2-AS1	CHR_HSCHR20_1_CTG4	63449173	63450451
			
KRTAP9-10P	CHR_HSCHR17_5_CTG4	41270282	41270488
			
KIR3DL3	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54724478	54736626
			
KCNQ2	CHR_HSCHR20_1_CTG4	63414903	63466150
			
	CHR_HSCHR17_5_CTG4	41265358	41265882
			
	CHR_HSCHR17_5_CTG4	41238001	41238465
			
KRTAP29-1	CHR_HSCHR17_5_CTG4	41291504	41292529
			
U6	GL000213.1	127840	127946
			
KIR3DL2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54921821	54938615
			
KRTAP9-2	CHR_HSCHR17_6_CTG4	41226627	41227631
			
KRTAP9-10P	CHR_HSCHR17_6_CTG4	41269234	41269440
			
KRTAP9-4	CHR_HSCHR17_6_CTG4	41238317	41239283
			
KRTAP9-6	CHR_HSCHR17_6_CTG4	41253969	41255271
			
	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54786437	54798259
			
KIR3DL2	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54849620	54866390
			
KRTAP9-7	CHR_HSCHR17_6_CTG4	41264289	41265327
			
KIR2DL4	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54803411	54814521
			
KIR2DL4	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54789863	54800933
			
KRTAP29-1	CHR_HSCHR17_6_CTG4	41290456	41291481
			
KRTAP9-12P	CHR_HSCHR17_6_CTG4	41212710	41213241
			
KRTAP9-11P	CHR_HSCHR17_6_CTG4	41259941	41260465
			
KRTAP9-9	CHR_HSCHR17_6_CTG4	41244014	41244994
			
	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54771294	54784697
			
	CHR_HSCHR3_9_CTG3	198106449	198108214
			
	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54703952	54704235
			
KIR2DL2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54754729	54769262
			
	KI270734.1	131494	137392
			
FTCD	CHR_HSCHR21_5_CTG2	46142109	46155567
			
KIR2DS2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54738547	54752855
			
LILRP1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54700593	54700905
			
	CHR_HSCHR3_9_CTG3	198177148	198186438
			
U6	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54882769	54882875
			
KIR3DL1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54816432	54830744
			
ANKRD18DP	CHR_HSCHR3_9_CTG3	198053522	198080720
			
	KI270734.1	72411	74814
			
	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54771253	54784657
			
KIR2DS4	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54819083	54833565
			
MREGP1	CHR_HSCHR12_4_CTG2	31256634	31256718
			
U6	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54868959	54869065
			
	CHR_HSCHR12_4_CTG2	31111652	31208427
			
	CHR_HSCHR3_9_CTG3	198148759	198166452
			
	CHR_HSCHR3_9_CTG3	198224587	198224769
			
	CHR_HSCHR3_9_CTG3	198117723	198119668
			
	CHR_HSCHR3_9_CTG3	198219890	198222703
			
	CHR_HSCHR3_9_CTG3	198116056	198117113
			
RNU6-821P	CHR_HSCHR3_9_CTG3	198071311	198071417
			
U6	CHR_HSCHR3_9_CTG3	198193139	198193242
			
	CHR_HSCHR12_4_CTG2	31246713	31246958
			
SINHCAF	CHR_HSCHR12_4_CTG2	31282857	31329331
			
	CHR_HSCHR15_5_CTG8	82380817	82395723
			
	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54830833	54834726
			
	CHR_HSCHR18_3_CTG2_1	79644682	79685499
			
KIR2DL2	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54754693	54769187
			
SUDS3P1	CHR_HSCHR5_3_CTG5	177971313	177972279
			
	CHR_HSCHR18_3_CTG2_1	79708475	79709405
			
	CHR_HSCHR5_3_CTG5	177870853	177871194
			
	CHR_HSCHR18_3_CTG2_1	79683041	79685112
			
DLGAP2	CHR_HSCHR8_4_CTG1	737651	824587
			
	CHR_HSCHR21_5_CTG2	46187390	46191252
			
FTCD-AS1	CHR_HSCHR21_5_CTG2	46151614	46152647
			
	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54799454	54811769
			
	CHR_HSCHR18_3_CTG2_1	79610642	79612198
			
KIR2DL3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54738512	54753028
			
LSS	CHR_HSCHR21_5_CTG2	46190452	46221883
			
	CHR_HSCHR5_3_CTG5	177939622	177983334
			
SBNO2	CHR_HSCHR19_4_CTG2	1107635	1156979
			
	CHR_HSCHR18_3_CTG2_1	79576460	79589010
			
KIR2DL1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54814235	54828734
			
PROP1	CHR_HSCHR5_3_CTG5	177992545	177996421
			
CTDP1	CHR_HSCHR18_3_CTG2_1	79685555	79723770
			
	CHR_HSCHR8_4_CTG1	725188	725877
			
RPS17	CHR_HSCHR15_5_CTG8	82615842	82619653
			
KIR2DL1	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54769801	54784302
			
	CHR_HSCHR8_4_CTG1	738548	740374
			
ERICH1	CHR_HSCHR8_4_CTG1	731140	738106
			
	CHR_HSCHR5_3_CTG5	177950335	177963960
			
	CHR_HSCHR12_5_CTG2_1	130350996	130351707
			
	CHR_HSCHR12_5_CTG2_1	130383653	130384179
			
	CHR_HSCHR5_3_CTG5	177875522	177950732
			
PRB1	CHR_HSCHR12_5_CTG2	11351822	11356402
			
KIR2DL5A	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54877311	54886807
			
NCR1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54906192	54910107
			
	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54888671	54903107
			
KIR2DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54905478	54919948
			
U6	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54940339	54940445
			
GARRE1	CHR_HSCHR19_1_CTG3_1	34261710	34308123
			
	CHR_HSCHR20_1_CTG4	63422269	63424555
			
KIR2DL4	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54848033	54858928
			
KIR3DL3	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54724486	54736500
			
U6	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54868982	54869088
			
LSM14A	CHR_HSCHR19_1_CTG3_1	34172447	34229322
			
	CHR_HSCHR2_4_CTG1	1340838	1344763
			
GOLGA6L10	CHR_HSCHR15_5_CTG8	82418974	82428498
			
	CHR_HSCHR1_1_CTG11	30420942	30426225
			
	CHR_HSCHR1_1_CTG11	30406695	30413531
			
	CHR_HSCHR1_1_CTG11	30414392	30416755
			
	CHR_HSCHR10_1_CTG4	77782866	77793176
			
	CHR_HSCHR5_3_CTG5	177967004	177967457
			
ZNF965P	CHR_HSCHR13_1_CTG3	18734080	18734896
			
DLG5-AS1	CHR_HSCHR10_1_CTG4	77927372	77929824
			
GXYLT1P1	CHR_HSCHR13_1_CTG3	18724415	18724904
			
	CHR_HSCHR10_1_CTG4	77866875	77869610
			
CYP4F34P	CHR_HSCHR13_1_CTG3	18741730	18742718
			
CNN2P12	CHR_HSCHR13_1_CTG3	18726706	18727414
			
	CHR_HSCHR18_2_CTG2	67551243	67554415
			
KIR2DS4	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54832684	54848599
			
RN7SL284P	CHR_HSCHR10_1_CTG4	77912271	77912545
			
RNU6-1266P	CHR_HSCHR10_1_CTG4	77776951	77777055
			
KIR3DL2	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54850475	54867233
			
SNX18P26	CHR_HSCHR13_1_CTG3	18807279	18808018
			
DSEL-AS1	CHR_HSCHR18_2_CTG2	67585995	67586198
			
LINC00328-2P	CHR_HSCHR13_1_CTG3	18809830	18810048
			
ANKRD20A9P	CHR_HSCHR13_1_CTG3	18816718	18880683
			
DSEL	CHR_HSCHR18_2_CTG2	67576031	67586429
			
RNU6-55P	CHR_HSCHR13_1_CTG3	18869185	18869291
			
DNM1P38	CHR_HSCHR15_5_CTG8	82610742	82613228
			
U6	CHR_HSCHR13_1_CTG3	18885950	18886053
			
NCR1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54906159	54910074
			
	CHR_HSCHR18_2_CTG2	67576038	67583479
			
	CHR_HSCHR12_4_CTG2	31254265	31254870
			
	CHR_HSCHR12_4_CTG2	31313890	31314302
			
	CHR_HSCHR18_2_CTG2	67457499	67458554
			
FLJ13224	CHR_HSCHR12_4_CTG2	31326589	31328102
			
KIR3DL2	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54850485	54867216
			
CPEB1	CHR_HSCHR15_5_CTG8	82622289	82720771
			
KIR2DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54769810	54784323
			
CRIM1	CHR_HSCHR2_1_CTG5	36361959	36362656
			
	CHR_HSCHR19_1_CTG3_1	34303449	34303913
			
U6	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54855316	54855422
			
RPL21P36	CHR_HSCHR2_1_CTG5	36299388	36299830
			
CRIM1-DT	CHR_HSCHR2_1_CTG5	36360778	36361147
			
	CHR_HSCHR8_1_CTG1	1296034	1302607
			
SPATC1L	CHR_HSCHR21_5_CTG2	46161526	46186787
			
	CHR_HSCHR8_1_CTG1	1373685	1381062
			
	CHR_HSCHR8_1_CTG1	1377533	1379973
			
DLGAP2-AS1	CHR_HSCHR8_1_CTG1	1551825	1552054
			
DLGAP2	CHR_HSCHR8_1_CTG1	1487682	1552210
			
SLC45A2	CHR_HSCHR5_6_CTG1	33946602	33956490
			
	CHR_HSCHR8_1_CTG1	1368648	1369833
			
	CHR_HSCHR4_1_CTG6	34657606	34669432
			
ELMO2P1	CHR_HSCHR15_1_CTG3	23086215	23124800
			
KIR2DL5B	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54771163	54780643
			
GOLGA8DP	CHR_HSCHR15_1_CTG3	23160896	23171217
			
RXFP3	CHR_HSCHR5_6_CTG1	33938372	33940223
			
U6	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54868910	54869016
			
ADAMTS12	CHR_HSCHR5_6_CTG1	33842143	33894178
			
	CHR_HSCHR15_1_CTG3	23229344	23229859
			
U6	CHR_HSCHR5_6_CTG1	33890040	33890146
			
KIR3DL3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54724479	54736534
			
KIR3DL1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54860886	54875194
			
	CHR_HSCHR6_1_CTG9	166229334	166229554
			
GNG5P1	CHR_HSCHR6_1_CTG9	166240290	166240493
			
	CHR_HSCHR6_1_CTG9	166236969	166256947
			
KIR2DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54769794	54784109
			
Y_RNA	GL000195.1	37434	37534
			
	GL000195.1	173872	179372
			
	GL000195.1	42939	49164
			
CYFIP1	CHR_HSCHR15_1_CTG3	22903706	22981018
			
	CHR_HSCHR6_1_CTG9	166275457	166277068
			
APOBEC3B-AS1	CHR_HSCHR22_1_CTG2	38961611	38968270
			
	CHR_HSCHR22_1_CTG2	38949113	38949127
			
APOBEC3A	CHR_HSCHR22_1_CTG2	38952742	38962839
			
	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54786460	54798282
			
KIR2DP1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54754958	54767824
			
	CHR_HSCHR17_3_CTG4	77275802	77276398
			
KIR2DL4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54803627	54814543
			
SEPTIN9-DT	CHR_HSCHR17_3_CTG4	77269359	77293519
			
AP2A2	CHR_HSCHR11_2_CTG1	940735	1012239
			
	CHR_HSCHR15_2_CTG3	23219948	23220085
			
PTCHD3	CHR_HSCHR10_1_CTG1	27445487	27461668
			
ABCB10P1	CHR_HSCHR15_2_CTG3	23184646	23186826
			
SEPTIN9	CHR_HSCHR17_3_CTG4	77292191	77306525
			
GOLGA8DP	CHR_HSCHR15_2_CTG3	23162205	23173124
			
	CHR_HSCHR5_2_CTG5	177970078	177970531
			
	CHR_HSCHR5_2_CTG5	177944158	177987099
			
	CHR_HSCHR5_2_CTG5	177870853	177871194
			
FRG1-DT	CHR_HSCHR4_3_CTG12	189780336	189899116
			
	CHR_HSCHR5_2_CTG5	177954877	177967034
			
	CHR_HSCHR22_1_CTG2	38921227	38924708
			
LINC01596	CHR_HSCHR4_3_CTG12	189884988	189888341
			
	CHR_HSCHR4_3_CTG12	189703881	189704490
			
RNU1-51P	CHR_HSCHR4_3_CTG12	189709539	189709714
			
KIR3DP1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54771283	54784696
			
	CHR_HSCHR5_2_CTG5	177875522	177955274
			
	CHR_HSCHR7_3_CTG6	148444254	148444767
			
	CHR_HSCHR10_1_CTG1	27378657	27388552
			
GOLGA6L22	CHR_HSCHR15_3_CTG3	22461390	22471066
			
	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54786437	54797952
			
ODAD2P1	CHR_HSCHR10_1_CTG1	27288669	27288857
			
KRTAP5-2	CHR_HSCHR11_1_CTG6	1602887	1604004
			
	CHR_HSCHR7_3_CTG6	148439467	148475983
			
FAM210CP	CHR_HSCHR10_1_CTG1	27397017	27397590
			
KIR2DS4	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54832687	54848602
			
TRIAP1P1	CHR_HSCHR10_1_CTG1	27425438	27425662
			
LINC02708	CHR_HSCHR11_1_CTG6	1694007	1694766
			
KIR2DL2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54754663	54769262
			
U6	CHR_HSCHR10_1_CTG1	27382801	27382907
			
CNTNAP2	CHR_HSCHR7_3_CTG6	148217288	148419466
			
FAM99B	CHR_HSCHR11_1_CTG6	1688979	1691339
			
U6	CHR_HSCHR10_1_CTG1	27315120	27315226
			
FAM99A	CHR_HSCHR11_1_CTG6	1671307	1673566
			
	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54754999	54767347
			
KRTAP5-3	CHR_HSCHR11_1_CTG6	1613275	1614173
			
KRTAP5-4	CHR_HSCHR11_1_CTG6	1626668	1627848
			
KRTAP5-1	CHR_HSCHR11_1_CTG6	1590052	1590993
			
KIR3DL1	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54816482	54830789
			
	CHR_HSCHR11_1_CTG6	1668294	1669053
			
	CHR_HSCHR15_3_CTG3	22374469	22376303
			
GOLGA8EP	CHR_HSCHR15_3_CTG3	22429756	22440620
			
KRTAP5-5	CHR_HSCHR11_1_CTG6	1635485	1636417
			
	CHR_HSCHR7_2_CTG7	157741015	157742461
			
KRTAP5-AS1	CHR_HSCHR11_1_CTG6	1577063	1604894
			
TUBGCP5	CHR_HSCHR15_2_CTG3	23036897	23039673
			
U6	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54868948	54869054
			
DUSP8	CHR_HSCHR11_1_CTG6	1559754	1577630
			
ABCB11	CHR_HSCHR2_1_CTG7_2	168939927	168953422
			
	CHR_HSCHR18_1_CTG1_1	50465102	50466010
			
SKA1	CHR_HSCHR18_1_CTG1_1	50374995	50394173
			
GOLGA6L1	CHR_HSCHR15_2_CTG3	23133045	23141599
			
	CHR_HSCHR11_1_CTG8	528907	532261
			
	CHR_HSCHR5_1_CTG1_1	69930714	69941207
			
G6PC2	CHR_HSCHR2_1_CTG7_2	168918229	168926984
			
HERC2P2	CHR_HSCHR15_3_CTG3	22497423	22593430
			
	CHR_HSCHR5_1_CTG1_1	69910279	69916203
			
LRRC56	CHR_HSCHR11_1_CTG8	537527	554915
			
DHX36	CHR_HSCHR3_2_CTG2_1	154275723	154284039
			
	CHR_HSCHR5_1_CTG1_1	70770949	70771902
			
SUDS3P1	CHR_HSCHR5_2_CTG5	177974393	177975358
			
PROP1	CHR_HSCHR5_2_CTG5	177996182	177996994
			
	CHR_HSCHR5_1_CTG1_1	70115323	70149120
			
SMN2	CHR_HSCHR5_1_CTG1_1	70070287	70099184
			
	CHR_HSCHR11_1_CTG6	1586202	1591699
			
U3	CHR_HSCHR7_3_CTG6	148386174	148386384
			
Metazoa_SRP	CHR_HSCHR7_3_CTG6	148436777	148437045
			
LINC02549	CHR_HSCHR6_1_CTG6	68266500	68342717
			
SLC25A51P1	CHR_HSCHR6_1_CTG7	65788417	65789287
			
ADH5P4	CHR_HSCHR6_1_CTG7	65836930	65838039
			
	CHR_HSCHR15_2_CTG3	23145340	23149199
			
ELMO2P1	CHR_HSCHR15_2_CTG3	23087871	23126101
			
HERC2P7	CHR_HSCHR15_3_CTG3	22482318	22486719
			
	KI270731.1	10598	13001
			
SPATA31E3P	CHR_HSCHR15_3_CTG3	22403919	22409655
			
	KI270731.1	26533	27138
			
	CHR_HSCHR15_3_CTG3	22363371	22363650
			
GOLGA8IP	CHR_HSCHR15_3_CTG3	22610118	22620428
			
KIR2DS4	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54819179	54834168
			
	CHR_HSCHR15_2_CTG3	23230653	23231168
			
	CHR_HSCHR15_2_CTG3	23198268	23198473
			
LILRP2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54707923	54713345
			
SPC25	CHR_HSCHR2_1_CTG7_2	168834132	168930360
			
Metazoa_SRP	CHR_HSCHR15_2_CTG3	23170674	23170963
			
METRNL	CHR_HSCHR17_1_CTG9	83077507	83097050
			
	CHR_HSCHR15_1_CTG3	23196959	23197164
			
KIR3DL2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54836668	54853397
			
MAPK4	CHR_HSCHR18_1_CTG1_1	50567310	50567991
			
GOLGA6L1	CHR_HSCHR15_1_CTG3	23131736	23140290
			
	CHR_HSCHR15_3_CTG3	22453604	22457549
			
Metazoa_SRP	CHR_HSCHR15_3_CTG3	22611719	22611955
			
	CHR_HSCHR18_1_CTG1_1	50318420	50319024
			
	CHR_HSCHR18_1_CTG1_1	50302190	50313595
			
Metazoa_SRP	CHR_HSCHR15_3_CTG3	22431917	22432206
			
RNA5SP458	CHR_HSCHR18_1_CTG1_1	50319002	50319120
			
ARHGEF26	CHR_HSCHR3_2_CTG2_1	154121003	154261004
			
PHRF1	CHR_HSCHR11_1_CTG8	576501	612474
			
MUC6	CHR_HSCHR11_2_CTG1	1012821	1043528
			
ABCB10P1	CHR_HSCHR15_1_CTG3	23183337	23185517
			
	CHR_HSCHR9_1_CTG4	88180669	88181409
			
	CHR_HSCHR17_1_CTG9	82978708	82981921
			
	CHR_HSCHR9_1_CTG4	88187735	88190202
			
TUBGCP5	CHR_HSCHR15_1_CTG3	22983146	23039654
			
TBCD	CHR_HSCHR17_1_CTG9	82923652	82946138
			
RPS6P22	CHR_HSCHR12_2_CTG2_1	59027218	59027943
			
NOSTRIN	CHR_HSCHR2_1_CTG7_2	168831472	168865516
			
	CHR_HSCHR12_2_CTG2_1	59063055	59063157
			
	CHR_HSCHR12_2_CTG2_1	59060029	59061233
			
RPL4P5	CHR_HSCHR9_1_CTG1	7491857	7493132
			
U1	KI270750.1	148668	148843
			
RNU6-1025P	CHR_HSCHR11_2_CTG1	948421	948524
			
KIR2DS3	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54782575	54796808
			
ARHGEF26-AS1	CHR_HSCHR3_2_CTG2_1	154119686	154121332
			
MEGF11	CHR_HSCHR15_2_CTG8	65909030	66265884
			
	CHR_HSCHR5_1_CTG1_1	70518623	70529103
			
CDH12P2	CHR_HSCHR5_1_CTG1_1	70005540	70005841
			
KIR3DL3	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54724485	54736502
			
PMCHL2	CHR_HSCHR5_1_CTG1_1	70701100	70711308
			
	CHR_HSCHR5_1_CTG1_1	70543654	70549533
			
GTF2H2	CHR_HSCHR5_1_CTG1_1	70376388	70411404
			
PAXBP1	CHR_HSCHR21_3_CTG1_1	32769814	32771858
			
	CHR_HSCHR22_1_CTG6	23392771	23393839
			
LINC01659	CHR_HSCHR22_1_CTG6	23433564	23435071
			
U6	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54868122	54868228
			
ZDHHC8P1	CHR_HSCHR22_1_CTG6	23390606	23402726
			
C21orf62	CHR_HSCHR21_3_CTG1_1	32793564	32813728
			
C21orf62-AS1	CHR_HSCHR21_3_CTG1_1	32772100	32798969
			
U6	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54855129	54855235
			
CES5AP1	CHR_HSCHR22_1_CTG6	23359603	23387731
			
KRTAP5-6	CHR_HSCHR11_2_CTG1_1	1694414	1694974
			
SDHAP2	CHR_HSCHR3_3_CTG3	195658096	195685904
			
	CHR_HSCHR21_3_CTG1_1	32790673	32791504
			
CYP2D8P	CHR_HSCHR22_3_CTG1	42149871	42155001
			
	CHR_HSCHR3_3_CTG3	195655565	195657927
			
KRTAP5-1	CHR_HSCHR11_2_CTG1_1	1584352	1585293
			
KIR2DS2	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54738507	54752802
			
	CHR_HSCHR3_3_CTG3	195650146	195651472
			
	CHR_HSCHR22_1_CTG6	23446598	23460833
			
KIR2DS4	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54877174	54891588
			
FAM230I	CHR_HSCHR22_1_CTG6	23462086	23486981
			
CYP2D7	CHR_HSCHR22_3_CTG1	42140208	42144572
			
KRTAP5-4	CHR_HSCHR11_2_CTG1_1	1620988	1622346
			
MUC20-OT1	CHR_HSCHR3_3_CTG3	195658062	195776180
			
LINC02557	CHR_HSCHR22_1_CTG6	23536736	23537844
			
KRTAP5-5	CHR_HSCHR11_2_CTG1_1	1629984	1630868
			
FAM99A	CHR_HSCHR11_2_CTG1_1	1663142	1665432
			
LINC02708	CHR_HSCHR11_2_CTG1_1	1685548	1686307
			
GOLGA8F	CHR_HSCHR15_1_CTG8	28378587	28391990
			
